Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
PAKISTAN,162.906,7.3,33.0,22.0,24.3,67.0,6.49,5200.0,58.0,247653551.0,4.35,9.4,9.4,2523027.0,94.0,48300000.0,188711452.0
PALAU,1.0,7.9,27.3,33.9,24.9,86.13,-13.33,13800.0,96.6,21779.0,1.7,5.6,5.6,1224.0,100.0,6696.0,24000.0
PANAMA,1.0,2.2,7.7,30.1,22.1,37.8,15.34,29000.0,95.7,4404108.0,12.09,30.0,30.0,562413.0,95.0,2992000.0,6003255.0
PAPUA NEW GUINEA,3.509,25.1,53.5,24.0,37.0,48.68,0.3,3700.0,64.2,9819350.0,2.75,5.3,5.3,21000.0,20.0,3168000.0,4800000.0
PARAGUAY,6.0,4.4,18.6,29.7,23.5,19.5,4.1,13700.0,94.5,7439863.0,7.21,16.3,16.3,562369.0,100.0,5159000.0,7975074.0
PERU,3.881,3.0,13.2,29.1,20.2,34.67,13.35,12500.0,94.5,32440172.0,4.83,11.2,11.2,3044000.0,95.0,24140000.0,43129394.0
PHILIPPINES,49.255,96.5,96.2,25.7,16.7,39.9,5.7,8100.0,96.3,109035343.0,2.41,7.3,7.3,7936574.0,97.0,58300000.0,163345244.0
PITCAIRN ISLANDS,1.416,,,,,,,,,50.0,,,,,,,
POLAND,3.862,20.1,27.9,41.9,15.4,50.6,6.85,34900.0,99.8,37991766.0,3.37,13.4,13.4,8369218.0,100.0,32299999.0,50588785.0
PORTUGAL,0.845,20.2,30.5,44.6,17.2,125.7,5.48,33700.0,95.9,10223150.0,6.65,23.1,23.1,4160795.0,100.0,8199999.0,12476165.0
PUERTO RICO,,92.4,92.4,43.6,,51.6,0.21,32600.0,92.4,3057311.0,8.27,18.5,18.5,671284.0,100.0,2564100.0,3661176.0
QATAR,3.64,1.9,21.7,33.7,,53.8,1.59,92900.0,93.5,2532104.0,0.26,1.1,1.1,296126.0,100.0,2700000.0,3876499.0
ROMANIA,4.16,20.0,35.9,42.5,23.8,57.11,5.1,30800.0,98.9,18326327.0,5.17,20.6,20.6,5684782.0,100.0,15960000.0,22929000.0
RUSSIA,73.654,12.8,40.8,40.3,12.6,23.05,4.75,28000.0,99.7,141698923.0,5.01,16.9,16.9,33893305.0,100.0,132000000.0,250000000.0
RWANDA,988.625,7.2,20.1,19.7,38.2,40.5,10.88,2200.0,75.9,13400541.0,1.61,2.9,2.9,17685.0,48.0,3900000.0,10902989.0
SAINT BARTHELEMY,0.885,,,47.0,,,,,,7093.0,,,,,100.0,7077.0,
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",0.7836,,,44.7,,,,7800.0,,7935.0,14.0,,,1000.0,100.0,2287.0,4000.0
SAINT KITTS AND NEVIS,2.7,,,38.1,,62.9,-0.88,26500.0,,54817.0,4.5,,,30000.0,100.0,37920.0,57000.0
SAINT LUCIA,2.7,36.2,41.0,39.0,25.0,70.7,12.23,13000.0,,167591.0,16.91,38.7,38.7,33000.0,100.0,140400.0,170000.0
SAINT MARTIN,0.885,,,34.0,,,,19300.0,,32897.0,,,,,100.0,19284.0,68840.0
SAINT PIERRE AND MIQUELON,0.885,,,50.6,,,,46200.0,,5195.0,8.7,,,,,5099.0,
SAINT VINCENT AND THE GRENADINES,2.7,43.9,39.7,37.0,,73.8,1.35,13700.0,,100804.0,21.62,41.1,41.1,24733.0,100.0,85000.0,114892.0
SAMOA,2.556,14.5,36.1,26.9,20.3,49.1,-7.08,5500.0,99.1,207501.0,9.84,19.7,19.7,1692.0,98.0,171600.0,69000.0
SAN MARINO,0.845,99.9,99.9,45.9,,98.35,-6.65,56400.0,99.9,34892.0,8.1,27.4,27.4,11000.0,100.0,25500.0,40000.0
SAO TOME AND PRINCIPE,21.507,1.3,10.1,20.4,66.7,88.4,1.88,4100.0,94.8,220372.0,15.91,22.9,22.9,2512.0,78.0,112200.0,189239.0
SAUDI ARABIA,3.75,2.0,26.5,32.0,,17.2,3.24,44300.0,97.6,35939806.0,7.36,28.8,28.8,7890261.0,100.0,36000000.0,45427321.0
SENEGAL,9.0,9.2,7.0,19.0,43.7,37.9,3.9,2600.0,56.3,18384660.0,6.34,8.2,8.2,1000.0,46.0,4900000.0,13795000.0
SERBIA,99.396,39.1,40.5,43.7,23.2,62.5,7.55,19800.0,99.5,6693375.0,11.81,30.4,30.4,1730496.0,100.0,5589000.0,8501519.0
SEYCHELLES,16.921,15.6,17.5,38.2,25.3,63.6,7.86,28800.0,95.9,97617.0,3.0,16.5,16.5,34966.0,100.0,90200.0,184161.0
SIERRA LEONE,10.0,6.4,20.5,19.2,56.8,63.9,4.1,1600.0,47.7,8908040.0,5.33,10.8,10.8,,27.0,1047499.0,8227093.0
SINGAPORE,1.343,5.0,28.0,38.9,,153.41,7.61,106000.0,97.5,5975383.0,3.62,9.1,9.1,1509700.0,100.0,5369000.0,8660700.0
SINT MAARTEN,1.79,,,41.1,,,-6.6,35300.0,,45677.0,12.0,,,,100.0,39089.0,68840.0
SLOVAKIA,0.845,25.6,37.4,42.5,11.9,77.36,3.01,31900.0,,5425319.0,6.74,21.5,21.5,1701561.0,100.0,4806000.0,7362325.0
SLOVENIA,0.845,19.6,24.4,45.9,12.0,73.6,8.21,40000.0,99.7,2099790.0,4.42,13.9,13.9,651604.0,100.0,1869000.0,2607268.0
SOLOMON ISLANDS,8.03,19.2,53.8,24.8,12.7,11.46,-0.2,2400.0,,714766.0,1.03,1.9,1.9,1000.0,76.0,255600.0,470000.0
SOMALIA,23.0,38.5,32.5,19.0,,76.7,4.05,1100.0,,12693796.0,19.86,34.7,34.7,119000.0,49.0,2465000.0,8844000.0
SOUTH AFRICA,14.779,6.5,34.0,30.1,55.5,53.0,4.91,13300.0,95.0,58048332.0,33.56,64.2,64.2,1303057.0,89.0,42480000.0,100328005.0
SOUTH SUDAN,306.355,28.9,40.3,18.7,76.4,62.7,-5.2,1600.0,34.5,12118379.0,13.91,21.0,21.0,200.0,7.0,869000.0,3300000.0
SPAIN,2.7,98.2,99.0,46.3,,,7.4,34000.0,98.6,47222613.0,5.6,33.9,,2700.0,100.0,2473.0,5000.0
SRI LANKA,198.764,2.6,41.4,33.9,4.1,79.1,3.33,13400.0,92.3,23326272.0,5.39,26.1,26.1,1781530.0,100.0,14740000.0,30764134.0
SUDAN,53.996,56.1,65.4,19.1,46.5,121.6,-1.87,3700.0,60.7,49197555.0,19.81,35.6,35.6,28782.0,61.0,13248000.0,16688773.0
SURINAME,18.239,93.4,96.5,31.6,70.0,69.3,-2.73,14800.0,95.0,639759.0,10.06,30.5,30.5,92270.0,98.0,402600.0,906170.0
SVALBARD,8.308,,,,,,,,,2926.0,,,,,,,
SWEDEN,8.577,18.2,29.8,41.0,17.1,44.0,2.6,54800.0,,10536338.0,8.66,24.5,24.5,4179574.0,100.0,8800000.0,12843683.0
SWITZERLAND,,22.9,28.1,44.0,,,,,,8563760.0,,9.1,9.1,,,,
SYRIA,514.6,81.0,91.7,23.9,82.5,94.8,-3.87,2900.0,86.4,22933531.0,10.57,26.2,26.2,1549356.0,88.0,8492468.0,16990714.0
TAIWAN,28.211,97.3,99.7,44.0,1.5,35.7,2.71,47800.0,98.5,23588613.0,3.73,,,5831470.0,,21600000.0,30000000.0
TAJIKISTAN,11.309,99.7,99.8,22.7,26.3,50.4,9.2,3900.0,99.8,9245937.0,7.75,17.4,17.4,6000.0,99.0,3009054.0,12000000.0
TANZANIA,2.0,3.4,14.0,18.9,26.4,37.0,4.28,2600.0,81.8,65642682.0,2.65,4.6,4.6,1135608.0,42.0,20480000.0,54000000.0
THAILAND,31.977,2.9,41.3,41.0,9.9,50.4,1.53,17100.0,94.1,69794997.0,1.42,7.0,7.0,11478265.0,100.0,61200000.0,120000000.0
TIMOR-LESTE,1.0,10.8,67.6,20.3,41.8,3.8,5.29,5000.0,68.1,1476042.0,5.07,13.8,13.8,75.0,100.0,507000.0,1400000.0
TOGO,554.531,1.2,12.3,20.5,55.1,75.7,5.26,2100.0,66.5,8703961.0,4.0,9.7,9.7,52706.0,55.0,3010000.0,6300000.0
TOKELAU,1.543,,,,,,,6004.0,,1647.0,2.0,,,,,800.0,
TONGA,2.265,15.3,46.7,25.4,22.5,49.41,-2.67,6100.0,99.4,105221.0,3.97,11.1,11.1,5000.0,100.0,73700.0,64000.0
TRINIDAD AND TOBAGO,6.759,98.7,99.2,38.0,20.0,41.8,-1.03,23000.0,99.0,1407460.0,4.8,12.7,12.7,376771.0,100.0,1185000.0,2000000.0
TUNISIA,2.794,2.0,47.2,34.0,15.2,70.3,4.32,10400.0,82.7,11976182.0,16.82,38.3,38.3,1334059.0,99.0,9480000.0,16000000.0
TURKEY (TURKIYE),8.85,29.9,21.4,33.6,14.4,41.97,11.35,31500.0,96.7,83593483.0,13.39,24.3,24.3,16734853.0,100.0,68850000.0,86000000.0
TURKMENISTAN,4.125,0.4,10.6,30.7,0.2,28.8,6.3,15000.0,99.7,5690818.0,5.08,11.0,11.0,10000.0,100.0,1563023.0,6300000.0
TURKS AND CAICOS ISLANDS,,,,35.9,,,2.1,18500.0,,59367.0,10.0,,,,100.0,37008.0,25085.0
TUVALU,1.311,21.3,49.8,27.5,26.3,37.0,2.99,4900.0,,11639.0,,20.6,20.6,450.0,99.0,7920.0,9000.0
UGANDA,3.0,3.7,13.0,16.1,21.4,44.19,3.54,2200.0,79.0,47729952.0,2.94,4.3,4.3,58594.0,45.0,4600000.0,30000000.0
UKRAINE,27.286,11.5,40.0,45.3,1.1,58.72,3.4,10700.0,100.0,43306477.0,8.88,16.5,16.5,7769401.0,100.0,34596356.0,56000000.0
UNITED ARAB EMIRATES,3.673,97.2,98.8,35.7,19.5,19.7,3.92,69700.0,98.1,9973449.0,3.36,10.7,10.7,3245123.0,100.0,9400000.0,18000000.0
UNITED KINGDOM,0.73,13.5,17.3,40.6,,95.1,4.1,46200.0,,68138484.0,4.5,13.2,11.2,27050000.0,100.0,65001016.0,80220000.0
UNITED STATES,1.0,17.5,28.4,38.5,15.1,127.1,5.95,63700.0,,339665118.0,3.9,9.6,8.6,119870000.0,100.0,311870000.0,496800000.0
URUGUAY,43.555,18.5,24.4,36.2,8.8,60.4,4.37,22800.0,98.8,3416264.0,10.45,32.9,32.9,1063701.0,100.0,3060000.0,4700000.0
UZBEKISTAN,10.0,1.1,34.0,28.7,14.1,24.3,7.42,7700.0,100.0,31360836.0,7.16,16.0,16.0,4820009.0,99.0,26180000.0,35000000.0
VANUATU,109.453,2.6,33.0,24.2,,48.4,0.45,2800.0,89.1,313046.0,2.18,5.4,5.4,2785.0,70.0,211200.0,250000.0
VENEZUELA,9.975,97.7,97.4,30.8,33.1,38.9,-19.67,7704.0,97.5,30518260.0,6.41,14.9,14.9,2561556.0,99.0,22734162.0,17000000.0
VIETNAM,23.0,2.2,47.4,32.7,6.7,58.5,2.56,10600.0,95.8,104799174.0,2.17,7.2,7.2,16699249.0,100.0,71780000.0,140000000.0
VIRGIN ISLANDS,,37.3,24.1,42.7,28.9,53.3,-2.15,37000.0,,104917.0,13.27,27.0,27.0,,100.0,67508.0,80000.0
WALLIS AND FUTUNA,110.2,,,35.8,,5.6,,3800.0,,15929.0,8.8,,,,,5496.0,0.0
WEST BANK,3.606,96.2,98.8,21.7,18.0,24.4,7.05,5600.0,97.5,3176549.0,24.9,39.6,39.6,373050.0,100.0,3938199.0,4052966.0
WORLD,,83.3,90.1,31.0,,67.2,5.87,17000.0,86.7,7979261010.0,6.18,17.9,17.9,1.0,91.0,,8.0
YEMEN,1.0,8.1,32.5,21.6,48.6,74.5,-5.9,2500.0,70.1,31565602.0,13.57,25.5,25.5,391000.0,74.0,8229624.0,15000000.0
ZAMBIA,20.018,3.7,25.1,18.2,54.4,103.7,4.6,3200.0,86.7,20216029.0,13.03,26.1,26.1,82317.0,46.0,3990000.0,20000000.0
ZIMBABWE,88.552,1.5,21.8,21.0,38.3,82.3,8.47,2100.0,89.7,15418674.0,5.17,7.3,7.3,203461.0,48.0,5600000.0,14257590.0
