Country,Exchange_Rate_per_USD,Female_Literacy_Rate,Male_Literacy_Rate,Median_Age,Population_Below_Poverty_Line_percent,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Literacy_Rate,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,Youth_Unemployment_Rate_percent,broadband_fixed_subscriptions_total,electricity_access_percent,internet_users_total,mobile_cellular_subscriptions_total
GUINEA,,31.3,61.2,19.1,,,,,45.3,13607249.0,,8.2,8.2,,,,
GUINEA-BISSAU,554.531,0.9,17.0,18.0,46.7,48.3,6.06,3500.0,52.9,2078820.0,3.72,12.8,5.0,153813.0,67.0,9860000.0,19859981.0
GUYANA,208.5,2.4,21.7,27.5,35.0,52.2,20.06,21900.0,88.8,791739.0,16.42,29.9,29.9,95000.0,92.0,680000.0,860000.0
HAITI,,58.3,65.3,24.1,,,,,61.7,11334637.0,,33.2,,,,,
HONDURAS,24.017,88.7,88.2,24.4,48.3,39.5,12.53,5600.0,88.5,9571352.0,8.51,15.5,15.5,396916.0,94.0,4800000.0,7560710.0
HONG KONG,,13.6,16.3,45.6,,,,,,7288167.0,,15.0,15.0,,,,
HUNGARY,303.141,27.8,35.8,43.6,12.3,96.11,7.12,33600.0,99.1,9670009.0,4.12,13.5,13.5,,100.0,8633000.0,10248653.0
ICELAND,126.989,12.0,11.9,37.1,8.8,100.02,4.4,53600.0,,360872.0,5.4,13.4,13.4,141816.0,100.0,370000.0,437270.0
INDIA,73.918,13.0,41.3,28.7,21.9,46.52,8.68,6600.0,74.4,1399179585.0,5.98,28.3,28.3,23000000.0,99.0,560000000.0,1166310000.0
INDONESIA,14.0,3.7,71.4,31.1,9.4,42.92,3.69,11900.0,96.0,279476346.0,4.41,16.1,16.1,11722218.0,99.0,167400000.0,365872608.0
IRAN,42.0,3.1,24.1,31.7,18.7,39.5,4.72,15000.0,88.7,87590873.0,11.46,27.2,27.2,9564195.0,100.0,69520000.0,135899424.0
IRAQ,1.0,1.8,35.1,21.2,23.0,27.44,2.78,9000.0,85.6,41266109.0,14.19,27.2,27.2,6254099.0,100.0,21560000.0,37649112.0
IRELAND,0.845,19.0,22.5,37.8,13.1,71.58,13.59,102500.0,,5323991.0,6.63,17.4,17.4,1516473.0,100.0,4750000.0,5373865.0
ISLE OF MAN,0.727,8.2,11.8,44.6,,,0.25,84600.0,,91840.0,1.1,10.1,10.1,,100.0,,
ISRAEL,3.23,13.5,28.9,30.4,22.0,72.6,8.61,42100.0,97.8,9043387.0,5.05,8.8,8.8,2602079.0,100.0,8010000.0,12500000.0
ITALY,0.845,19.5,26.6,46.5,20.1,131.8,6.74,41900.0,99.2,61021855.0,9.83,30.9,30.9,18128787.0,100.0,44250000.0,78114933.0
JAMAICA,150.79,31.4,22.1,29.4,17.1,106.28,4.6,9600.0,88.7,2820982.0,9.18,26.1,26.1,385603.0,100.0,2296000.0,2905408.0
JAPAN,110.2,10.0,30.1,48.6,15.7,261.3,1.0,39300.0,,123719238.0,2.6,4.4,4.1,43730000.0,100.0,116565962.0,204700000.0
JERSEY,0.7836,15.6,15.9,37.5,,,1.0,56600.0,,102785.0,7.37,15.8,15.8,39699.0,100.0,96038.0,124083.0
JORDAN,0.71,12.8,56.8,23.5,15.7,75.14,2.23,9200.0,98.4,11086716.0,19.25,40.5,40.5,630545.0,99.0,9130000.0,7275563.0
KAZAKHSTAN,425.908,6.7,39.6,31.6,4.3,26.63,4.3,26100.0,99.8,19543464.0,4.9,3.7,3.7,2620400.0,100.0,17290000.0,24323000.0
KENYA,109.638,2.7,19.5,20.0,36.1,54.2,7.52,4700.0,82.6,57052004.0,5.74,13.8,13.8,674191.0,76.0,15370000.0,65085720.0
KIRIBATI,1.331,27.3,53.9,25.7,,26.3,1.5,1900.0,,115372.0,30.6,22.5,22.5,185.0,92.0,70200.0,54527.0
"KOREA, NORTH",135.0,0.0,34.8,34.6,,,-1.1,1700.0,100.0,26072217.0,2.59,6.1,6.1,,52.0,,6000000.0
"KOREA, SOUTH",1.0,5.9,35.7,43.2,14.4,46.43,4.15,44200.0,,51966948.0,3.53,7.8,7.8,22327182.0,100.0,50960000.0,72855492.0
KOSOVO,0.845,57.3,44.9,,17.6,21.2,10.75,11900.0,,1964327.0,30.5,48.8,48.8,,100.0,1756300.0,1777859.0
KUWAIT,0.302,2.2,33.5,29.7,,20.6,-8.86,43900.0,96.5,3103580.0,3.71,25.5,25.5,73948.0,100.0,4300000.0,6918180.0
KYRGYZSTAN,84.641,2.8,48.0,27.3,20.1,72.23,3.61,4800.0,99.6,6122781.0,9.1,19.3,19.3,289000.0,99.0,5070000.0,8500000.0
