Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
GUATEMALA,"108,889 sq km",400 km,15.32,27.39,"1,667 km",1.54,7.98,152.73,17980803.0,16.0,275.0,,1.0,480.0,10300.0,800.0,10810.0,97900.0,1162.0,,17440.0,990.0
GUERNSEY,78 sq km,50 km,,,0 km,0.22,0.4,3.46,67642.0,2.0,,,,,,,,,,,260.0,
GUINEA,"245,857 sq km",320 km,,,"4,046 km",2.75,,,13607249.0,,,,,,,,,,,,,
GUINEA-BISSAU,"36,125 sq km",350 km,5.29,8.96,762 km,2.54,6.06,58.99,2078820.0,9.0,11.0,43.0,,,0.0,906.0,4063.0,32050.0,17590.0,,16665.0,1000.0
GUYANA,"214,969 sq km",459 km,4.64,6.61,"2,933 km",0.28,20.06,17.64,791739.0,11.0,106.0,,,,110200.0,,,13720.0,,,3995.0,330.0
HAITI,"27,750 sq km","1,771 km",,,376 km,2.23,,,11334637.0,,,,,,,,,,,,,
HONDURAS,"112,090 sq km",823 km,7.94,14.49,"1,575 km",1.16,12.53,57.27,9571352.0,13.0,90.0,,,,0.0,699.0,12870.0,56120.0,,,14742.0,465.0
HONG KONG,"1,108 sq km",733 km,,,33 km,0.15,,,7288167.0,,,,,,,,,,,,,
HUNGARY,"93,028 sq km",0 km,148.23,147.58,"2,106 km",0.31,7.12,326.19,9670009.0,20.0,21.0,5874.0,3.0,,35200.0,7687.0,58720.0,82110.0,152400.0,,203601.0,1622.0
ICELAND,"103,000 sq km","4,970 km",9.78,10.23,0 km,0.89,4.4,19.96,360872.0,7.0,89.0,,,,0.0,,2530.0,20220.0,,,12898.0,
INDIA,"3,287,263 sq km","7,000 km",643.08,717.12,"13,888 km",0.7,8.68,9279.0,1399179585.0,253.0,93.0,16000.0,45.0,8943.0,771400.0,68525.0,1305000.0,653300.0,4897000.0,13977.0,6371847.0,14500.0
INDONESIA,"1,904,569 sq km","54,716 km",246.87,217.72,"2,958 km",0.76,3.69,3246.0,279476346.0,186.0,487.0,1064.0,76.0,,842300.0,8159.0,79930.0,591500.0,950000.0,,496607.0,21579.0
IRAN,"1,648,195 sq km","2,440 km",101.4,76.39,"5,894 km",0.93,4.72,1319.0,87590873.0,140.0,179.0,973.0,26.0,,3450300.0,,397200.0,64160.0,1.0,,223485.0,850.0
IRAQ,"438,317 sq km",58 km,78.26,50.71,"3,809 km",1.94,2.78,390.17,41266109.0,72.0,30.0,2455.0,16.0,5432.0,,2272.0,8284.0,255100.0,398000.0,,59623.0,5279.0
IRELAND,"70,273 sq km","1,448 km",677.03,477.54,490 km,0.91,13.59,515.88,5323991.0,16.0,24.0,2427.0,,,600.0,1688.0,37040.0,126600.0,64970.0,,99830.0,956.0
ISLE OF MAN,572 sq km,160 km,,,0 km,0.48,0.25,6.79,91840.0,1.0,,,,,,63.0,,,,,1107.0,
ISRAEL,"21,937 sq km",273 km,143.88,124.58,"1,068 km",1.43,8.61,393.86,9043387.0,33.0,9.0,763.0,3.0,442.0,0.0,1497.0,111700.0,98860.0,294300.0,,20391.0,
ITALY,"301,340 sq km","7,600 km",687.95,637.93,"1,836.4 km",0.11,6.74,2478.0,61021855.0,98.0,31.0,20223.0,5.0,1393.0,107700.0,18475.0,615900.0,422500.0,1.0,,487700.0,2400.0
JAMAICA,"10,991 sq km","1,022 km",4.38,7.41,0 km,0.09,4.6,27.14,2820982.0,11.0,17.0,,,,3000.0,,823.0,30580.0,24250.0,,22121.0,
JAPAN,"377,915 sq km","29,751 km",756.0,721.0,0 km,0.41,1.0,4940.0,123719238.0,142.0,33.0,4456.0,16.0,174.0,3200.0,27311.0,370900.0,582500.0,3467000.0,,1218772.0,1770.0
JERSEY,116 sq km,70 km,,,0 km,0.61,1.0,5.57,102785.0,1.0,,,,,,,,,,,576.0,
