Country,Area_Total,Coastline,Exports_billion_USD,Imports_billion_USD,Land_Boundaries,Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Real_GDP_PPP_billion_USD,Total_Population,airports_paved_runways_count,airports_unpaved_runways_count,gas_pipelines_km,heliports_count,oil_pipelines_km,petroleum_bbl_per_day,railways_km,refined_petroleum_exports_bbl_per_day,refined_petroleum_imports_bbl_per_day,refined_petroleum_products_bbl_per_day,refined_products_pipelines_km,roadways_km,waterways_km
BURMA,"676,578 sq km","1,930 km",20.4,23.1,"6,522 km",0.75,-17.91,216.95,57970293.0,36.0,28.0,3739.0,11.0,1321.0,7800.0,5031.0,0.0,102600.0,13330.0,,157000.0,12800.0
BURUNDI,"27,830 sq km",0 km,285.11,905.29,"1,140 km",3.59,1.8,8.85,13162952.0,1.0,6.0,,1.0,,0.0,,,1374.0,,,12322.0,673.0
CABO VERDE,"4,033 sq km",965 km,459.92,1.12,0 km,1.19,6.95,3.6,603901.0,9.0,418.0,,,,0.0,,,5607.0,,,1350.0,
CAMBODIA,"181,035 sq km",443 km,20.13,32.83,"2,530 km",1.04,3.03,72.24,16891245.0,6.0,10.0,,1.0,,0.0,642.0,,43030.0,,,47263.0,3700.0
CAMEROON,"475,440 sq km",402 km,7.45,9.03,"5,018 km",2.73,3.65,100.65,30135732.0,11.0,22.0,53.0,,1107.0,63200.0,987.0,8545.0,14090.0,39080.0,,77589.0,
CANADA,"9,984,670 sq km","202,080 km",611.15,609.26,"8,892 km",0.73,4.54,1832.0,38516736.0,523.0,944.0,110000.0,26.0,100000.0,5468100.0,49422.0,379500.0,405700.0,2009000.0,16500.0,1042300.0,636.0
CAYMAN ISLANDS,264 sq km,160 km,,,0 km,1.79,,,65483.0,,,,,,,,,,,,,
CENTRAL AFRICAN REPUBLIC,"622,984 sq km",0 km,113.7,393.1,"5,920 km",1.77,0.9,4.48,5552228.0,1.0,37.0,,,,0.0,,,2799.0,,,24000.0,2800.0
CHAD,1.284 million sq km,0 km,2.46,2.16,"6,406 km",3.05,-1.2,24.49,18523165.0,9.0,50.0,,,582.0,87900.0,,,2285.0,,,40000.0,12400.0
CHILE,"756,102 sq km","6,435 km",100.63,102.09,"7,801 km",0.63,11.67,496.08,18549457.0,90.0,391.0,3160.0,1.0,985.0,11900.0,,7359.0,166400.0,216200.0,,77801.0,
CHINA,"9,596,960 sq km","14,500 km",3593.0,2714.0,"22,457 km",0.18,3.0,17730.0,1413142846.0,510.0,23.0,70000.0,92.0,22900.0,4670000.0,150000.0,848400.0,1280000.0,13790000.0,9500.0,4960600.0,110000.0
CHRISTMAS ISLAND,135 sq km,138.9 km,,,0 km,1.11,,,2205.0,1.0,110.0,,,,,18.0,,,,,142.0,
COCOS (KEELING) ISLANDS,14 sq km,26 km,,,0 km,,1.0,,596.0,1.0,12.0,,,,,,,,,,22.0,
COLOMBIA,"1,138,910 sq km","3,208 km",50.79,70.84,"6,672 km",0.54,10.68,754.64,49336454.0,121.0,715.0,4991.0,3.0,6796.0,756400.0,2141.0,56900.0,57170.0,303600.0,,205379.0,24725.0
COMOROS,"2,235 sq km",340 km,139.57,407.0,0 km,1.34,2.11,2.65,888378.0,4.0,207.0,,,,0.0,,,1241.0,,,880.0,
"CONGO, DEMOCRATIC REPUBLIC OF THE","2,344,858 sq km",37 km,22.35,22.19,"11,027 km",3.13,6.2,102.96,111859928.0,26.0,172.0,62.0,1.0,77.0,22000.0,4007.0,0.0,21140.0,0.0,,152373.0,15000.0
"CONGO, REPUBLIC OF THE","342,000 sq km",169 km,4.67,3.28,"5,554 km",2.33,-2.2,18.88,5677493.0,8.0,19.0,232.0,,982.0,270900.0,510.0,5766.0,7162.0,15760.0,,23324.0,1120.0
COOK ISLANDS,236 sq km,120 km,31.4,215.0,0 km,2.31,10.5,266.0,7939.0,1.0,10.0,,,,0.0,,,611.0,,,295.0,
COSTA RICA,"322,463 sq km",515 km,13.23,12.66,"3,458 km",2.16,7.04,146.32,29344847.0,7.0,20.0,256.0,1.0,118.0,33000.0,660.0,31450.0,7405.0,69360.0,,81996.0,980.0
CROATIA,"56,594 sq km","5,835 km",35.31,36.33,"2,237 km",0.47,13.07,123.35,4169239.0,24.0,45.0,2410.0,1.0,610.0,12200.0,2617.0,40530.0,35530.0,74620.0,,26958.0,4714.0
CUBA,"110,860 sq km","3,735 km",2.63,11.06,28.5 km,0.19,1.25,137.0,10985974.0,64.0,69.0,41.0,,230.0,38400.0,8367.0,24190.0,52750.0,104100.0,,60000.0,240.0
CURACAO,444 sq km,364 km,1.28,1.92,,0.3,4.23,3.17,152849.0,1.0,,,,,,,167500.0,45800.0,189800.0,,550.0,
CYPRUS,"9,251 sq km",648 km,,,156 km,1.0,,,1308120.0,,,,,,,,,,,,,
CZECHIA,"78,867 sq km",0 km,204.78,196.24,"2,046 km",0.0,3.54,428.02,10706242.0,41.0,87.0,7160.0,1.0,675.0,6300.0,9548.0,52200.0,83860.0,177500.0,,55744.0,664.0
DENMARK,"43,094 sq km","7,314 km",234.26,208.12,141 km,0.44,3.8,352.44,5946984.0,28.0,52.0,1536.0,,330.0,69000.0,2682.0,133700.0,109700.0,183900.0,,74558.0,400.0
DJIBOUTI,"23,200 sq km",314 km,5.16,5.48,528 km,1.93,4.81,5.43,976143.0,3.0,10.0,,,,0.0,97.0,403.0,6692.0,,,2893.0,
DOMINICA,751 sq km,148 km,104.96,302.0,0 km,0.02,6.68,787.7,74656.0,2.0,750.0,,,,0.0,,,1237.0,,,1512.0,
DOMINICAN REPUBLIC,"48,670 sq km","1,288 km",1.24,5.22,376 km,1.18,-1.8,32.86,11470261.0,4.0,10.0,,,,0.0,,,20030.0,,,4102.0,
ECUADOR,"283,561 sq km","2,237 km",29.32,28.57,"2,237 km",1.1,4.24,189.88,17483326.0,104.0,328.0,123.0,2.0,2131.0,478000.0,965.0,25870.0,153900.0,137400.0,,43950.0,1500.0
EGYPT,"1,001,450 sq km","2,450 km",58.34,94.04,"2,612 km",1.59,3.33,1264.0,109546720.0,11.0,11.0,486.0,7.0,,660800.0,5085.0,47360.0,280200.0,547500.0,,65050.0,3500.0
EL SALVADOR,"21,041 sq km",307 km,8.49,15.75,590 km,0.46,10.28,57.37,6602370.0,5.0,63.0,,2.0,,0.0,,347.0,49280.0,0.0,,9012.0,422.0
EQUATORIAL GUINEA,"28,051 sq km",296 km,8.78,6.25,528 km,3.36,-0.95,23.92,1737695.0,6.0,1.0,42.0,,,142600.0,,,5094.0,,,2880.0,
ERITREA,"117,600 sq km","2,234 km",624.3,1.13,"1,840 km",1.08,5.0,9.7,6274796.0,4.0,9.0,,1.0,,0.0,306.0,,3897.0,,,16000.0,
ESTONIA,"45,228 sq km","3,794 km",29.06,29.23,657 km,0.74,8.01,51.53,1202762.0,13.0,5.0,2360.0,1.0,,21800.0,1441.0,27150.0,35520.0,,,58412.0,335.0
ESWATINI,"17,364 sq km",0 km,2.13,2.17,546 km,0.72,7.88,10.56,1130043.0,2.0,12.0,,,,0.0,301.0,,5279.0,,,3769.0,
ETHIOPIA,"1,104,300 sq km",0 km,9.5,20.86,"5,925 km",2.42,5.64,278.94,116462712.0,17.0,40.0,,,,0.0,659.0,,69970.0,,,120171.0,
EUROPEAN UNION,"4,236,351 sq km","53,563.9 km",8705.0,8037.0,"13,770 km",0.1,5.39,19739.0,,1882.0,1244.0,,,,,4894173.0,2.0,,11.0,,4894173.0,42000.0
FALKLAND ISLANDS (ISLAS MALVINAS),"12,173 sq km","1,288 km",257.3,90.0,0 km,0.01,25.5,206.4,3662.0,2.0,5.0,,,,0.0,,,286.0,,,440.0,
FAROE ISLANDS,"1,393 sq km","1,117 km",1.18,978.4,0 km,0.63,5.9,2.0,52600.0,1.0,460.0,,,,0.0,,,4555.0,,,960.0,
FIJI,"18,274 sq km","1,129 km",1.17,2.34,0 km,0.42,-5.11,9.58,947760.0,4.0,24.0,,,,0.0,597.0,,17460.0,,,3440.0,203.0
FINLAND,"338,145 sq km","1,250 km",116.91,116.28,"2,563 km",0.22,2.1,275.55,5614571.0,74.0,74.0,1288.0,,,8300.0,5918.0,166200.0,122200.0,310600.0,,454000.0,8000.0
FRANCE,"643,801 sq km","4,853 km",569.1,571.4,"3,956 km",0.12,6.8,3048.0,47222613.0,294.0,170.0,15322.0,1.0,2939.0,81500.0,27860.0,440600.0,886800.0,1.0,,1053215.0,
FRENCH POLYNESIA,"4,167 sq km","2,525 km",162.0,1.66,0 km,0.7,1.02,5.65,301488.0,45.0,9.0,,1.0,,0.0,,,6785.0,,,2590.0,
GABON,"267,667 sq km",885 km,10.8,5.02,"3,261 km",2.39,1.46,32.34,2397368.0,14.0,30.0,807.0,,1639.0,175000.0,649.0,4662.0,10680.0,16580.0,,14300.0,1600.0
"GAMBIA, THE","11,300 sq km",80 km,135.45,726.0,749 km,2.23,4.27,5.48,2468569.0,1.0,2459.0,,,,0.0,,42.0,3738.0,,,2977.0,390.0
GAZA STRIP,360 sq km,40 km,3.18,10.24,72 km,1.99,7.05,27.78,2098389.0,1.0,,,1.0,,0.0,,,,,,,
GEORGIA,"69,700 sq km",310 km,8.09,11.15,"1,814 km",0.01,10.47,57.43,4936390.0,18.0,4.0,1596.0,2.0,1175.0,300.0,1363.0,2052.0,28490.0,247.0,,20295.0,
GERMANY,"357,022 sq km","2,389 km",1813.0,1665.0,"3,694 km",0.12,1.8,4260.0,84220184.0,318.0,221.0,26985.0,23.0,2400.0,135000.0,39379.0,494000.0,883800.0,2158000.0,4479.0,830000.0,7300.0
GHANA,"238,533 sq km",539 km,23.9,25.97,"2,420 km",2.19,5.36,178.46,33846114.0,7.0,3.0,,,,185700.0,947.0,2654.0,85110.0,2073.0,,65725.0,1293.0
GIBRALTAR,7 sq km,12 km,202.3,2.97,1.2 km,0.19,,2.04,29629.0,1.0,,,,,0.0,,,74200.0,,,29.0,
GREECE,"131,957 sq km","13,676 km",87.52,103.53,"1,110 km",0.35,8.43,314.43,10497595.0,68.0,9.0,1466.0,9.0,94.0,4800.0,2345.0,371900.0,192200.0,655400.0,,117000.0,6.0
GREENLAND,"2,166,086 sq km","44,087 km",407.1,783.5,0 km,0.04,0.36,2.41,57777.0,10.0,5.0,,,,0.0,,,3973.0,,,,
GRENADA,344 sq km,121 km,393.77,650.0,0 km,0.29,4.69,1.71,114299.0,3.0,225.0,,,,0.0,,,1886.0,,,1127.0,
GUAM,544 sq km,125.5 km,1.12,2.96,0 km,0.13,1.06,5.79,169330.0,4.0,1.0,,,,0.0,,,13500.0,,,1045.0,
