Country,Agricultural_Land,Area_Total,Irrigated_Land,Land_Area,Median_Age,Net_Migration_Rate,Population_Below_Poverty_Line_percent,Population_Growth_Rate,Public_Debt_percent_of_GDP,Real_GDP_Growth_Rate_percent,Real_GDP_per_Capita_USD,Total_Population,Unemployment_Rate_percent,Youth_Unemployment_Rate,airports_paved_runways_count,broadband_fixed_subscriptions_total,internet_users_total,mobile_cellular_subscriptions_total,railways_km,roadways_km
GIBRALTAR,0.0,7 sq km,,6.5 sq km,35.5,3.24,,0.19,7.5,,61700.0,29629.0,1.0,,1.0,21009.0,31152.0,34000.0,,29.0
GREECE,63.4,"131,957 sq km","11,853 sq km","130,647 sq km",45.3,1.03,17.9,0.35,252.29,8.43,29500.0,10497595.0,14.8,36.9,68.0,4257026.0,7800000.0,11494008.0,2345.0,117000.0
GREENLAND,0.6,"2,166,086 sq km",,"2,166,086 sq km",34.3,4.95,16.2,0.04,13.0,0.36,41800.0,57777.0,9.1,,10.0,15649.0,38920.0,66605.0,,
GRENADA,32.3,344 sq km,20 sq km,344 sq km,33.3,2.34,38.0,0.29,70.4,4.69,13700.0,114299.0,24.0,,3.0,32000.0,93600.0,100000.0,,1127.0
GUAM,33.4,544 sq km,2 sq km,544 sq km,29.4,10.94,23.0,0.13,22.1,1.06,35600.0,169330.0,6.98,15.3,4.0,3000.0,136850.0,98000.0,,1045.0
GUATEMALA,41.2,"108,889 sq km","3,375 sq km","107,159 sq km",23.2,1.63,59.3,1.54,31.56,7.98,8900.0,17980803.0,3.57,7.2,16.0,612000.0,9180000.0,22124839.0,800.0,17440.0
GUERNSEY,,78 sq km,,78 sq km,44.3,1.64,,0.22,,0.4,52500.0,67642.0,7.37,15.8,2.0,25336.0,55069.0,71485.0,,260.0
GUINEA,58.1,"245,857 sq km",950 sq km,"245,717 sq km",19.1,0.0,,2.75,,,,13607249.0,,8.2,,,,,,
GUINEA-BISSAU,44.8,"36,125 sq km",250 sq km,"28,120 sq km",18.0,3.54,46.7,2.54,48.3,6.06,3500.0,2078820.0,3.72,12.8,9.0,153813.0,9860000.0,19859981.0,906.0,16665.0
GUYANA,8.4,"214,969 sq km","1,430 sq km","196,849 sq km",27.5,6.99,35.0,0.28,52.2,20.06,21900.0,791739.0,16.42,29.9,11.0,95000.0,680000.0,860000.0,,3995.0
HAITI,66.4,"27,750 sq km",970 sq km,"27,560 sq km",24.1,-2.4,,2.23,,,,11334637.0,,33.2,,,,,,
HONDURAS,28.8,"112,090 sq km",900 sq km,"111,890 sq km",24.4,1.32,48.3,1.16,39.5,12.53,5600.0,9571352.0,8.51,15.5,13.0,396916.0,4800000.0,7560710.0,699.0,14742.0
HONG KONG,5.0,"1,108 sq km",10 sq km,"1,073 sq km",45.6,1.65,,0.15,,,,7288167.0,,15.0,,,,,,
HUNGARY,58.9,"93,028 sq km","1,010 sq km","89,608 sq km",43.6,1.21,12.3,0.31,96.11,7.12,33600.0,9670009.0,4.12,13.5,20.0,,8633000.0,10248653.0,7687.0,203601.0
ICELAND,18.7,"103,000 sq km",0.5 sq km,"100,250 sq km",37.1,2.69,8.8,0.89,100.02,4.4,53600.0,360872.0,5.4,13.4,7.0,141816.0,370000.0,437270.0,,12898.0
INDIA,60.5,"3,287,263 sq km","715,539 sq km","2,973,193 sq km",28.7,0.12,21.9,0.7,46.52,8.68,6600.0,1399179585.0,5.98,28.3,253.0,23000000.0,560000000.0,1166310000.0,68525.0,6371847.0
INDONESIA,31.2,"1,904,569 sq km","67,220 sq km","1,811,569 sq km",31.1,0.71,9.4,0.76,42.92,3.69,11900.0,279476346.0,4.41,16.1,186.0,11722218.0,167400000.0,365872608.0,8159.0,496607.0
IRAN,30.1,"1,648,195 sq km","79,721 sq km","1,531,595 sq km",31.7,0.3,18.7,0.93,39.5,4.72,15000.0,87590873.0,11.46,27.2,140.0,9564195.0,69520000.0,135899424.0,,223485.0
IRAQ,18.1,"438,317 sq km","35,250 sq km","437,367 sq km",21.2,0.98,23.0,1.94,27.44,2.78,9000.0,41266109.0,14.19,27.2,72.0,6254099.0,21560000.0,37649112.0,2272.0,59623.0
IRELAND,66.1,"70,273 sq km",0 sq km,"68,883 sq km",37.8,3.76,13.1,0.91,71.58,13.59,102500.0,5323991.0,6.63,17.4,16.0,1516473.0,4750000.0,5373865.0,1688.0,99830.0
ISLE OF MAN,74.7,572 sq km,,572 sq km,44.6,4.52,,0.48,,0.25,84600.0,91840.0,1.1,10.1,1.0,,,,63.0,1107.0
ISRAEL,23.8,"21,937 sq km","2,159 sq km","21,497 sq km",30.4,1.99,22.0,1.43,72.6,8.61,42100.0,9043387.0,5.05,8.8,33.0,2602079.0,8010000.0,12500000.0,1497.0,20391.0
ITALY,47.1,"301,340 sq km","26,010 sq km","294,140 sq km",46.5,3.2,20.1,0.11,131.8,6.74,41900.0,61021855.0,9.83,30.9,98.0,18128787.0,44250000.0,78114933.0,18475.0,487700.0
JAMAICA,41.4,"10,991 sq km",250 sq km,"10,831 sq km",29.4,7.42,17.1,0.09,106.28,4.6,9600.0,2820982.0,9.18,26.1,11.0,385603.0,2296000.0,2905408.0,,22121.0
JAPAN,12.5,"377,915 sq km","15,730 sq km","364,485 sq km",48.6,0.74,15.7,0.41,261.3,1.0,39300.0,123719238.0,2.6,4.4,142.0,43730000.0,116565962.0,204700000.0,27311.0,1218772.0
JERSEY,66.0,116 sq km,,116 sq km,37.5,1.5,,0.61,,1.0,56600.0,102785.0,7.37,15.8,1.0,39699.0,96038.0,124083.0,,576.0
