Country,Agricultural_Land,Arable_Land (%% of Total Agricultural Land),Area_Total,Exports_billion_USD,Imports_billion_USD,Irrigated_Land,Land_Area,Permanent_Crops (%% of Total Agricultural Land),Permanent_Pasture (%% of Total Agricultural Land),Population_Growth_Rate,Real_GDP_Growth_Rate_percent,Total_Population,Water_Area,electricity_access_percent,electricity_generating_capacity_kW,railways_km,roadways_km,waterways_km
GUATEMALA,41.2,14.2,"108,889 sq km",15.32,27.39,"3,375 sq km","107,159 sq km",8.8,18.2,1.54,7.98,17980803.0,"1,730 sq km",97.0,5185000.0,800.0,17440.0,990.0
GUERNSEY,,,78 sq km,,,,78 sq km,,,0.22,0.4,67642.0,0 sq km,100.0,,,260.0,
GUINEA,58.1,11.8,"245,857 sq km",,,950 sq km,"245,717 sq km",2.8,43.5,2.75,,13607249.0,140 sq km,,,,,
GUINEA-BISSAU,44.8,8.2,"36,125 sq km",5.29,8.96,250 sq km,"28,120 sq km",6.9,29.7,2.54,6.06,2078820.0,"8,005 sq km",67.0,1312000.0,906.0,16665.0,1000.0
GUYANA,8.4,2.1,"214,969 sq km",4.64,6.61,"1,430 sq km","196,849 sq km",0.1,6.2,0.28,20.06,791739.0,"18,120 sq km",92.0,380000.0,,3995.0,330.0
HAITI,66.4,38.5,"27,750 sq km",,,970 sq km,"27,560 sq km",10.2,17.7,2.23,,11334637.0,190 sq km,,,,,
HONDURAS,28.8,9.1,"112,090 sq km",7.94,14.49,900 sq km,"111,890 sq km",4.0,15.7,1.16,12.53,9571352.0,200 sq km,94.0,3991000.0,699.0,14742.0,465.0
HONG KONG,5.0,3.2,"1,108 sq km",,,10 sq km,"1,073 sq km",0.9,0.9,0.15,,7288167.0,35 sq km,,,,,
HUNGARY,58.9,48.5,"93,028 sq km",148.23,147.58,"1,010 sq km","89,608 sq km",2.0,8.4,0.31,7.12,9670009.0,"3,420 sq km",100.0,10873000.0,7687.0,203601.0,1622.0
ICELAND,18.7,1.2,"103,000 sq km",9.78,10.23,0.5 sq km,"100,250 sq km",0.0,17.5,0.89,4.4,360872.0,"2,750 sq km",100.0,2967000.0,,12898.0,
INDIA,60.5,52.8,"3,287,263 sq km",643.08,717.12,"715,539 sq km","2,973,193 sq km",4.2,3.5,0.7,8.68,1399179585.0,"314,070 sq km",99.0,432768000.0,68525.0,6371847.0,14500.0
INDONESIA,31.2,13.0,"1,904,569 sq km",246.87,217.72,"67,220 sq km","1,811,569 sq km",12.1,6.1,0.76,3.69,279476346.0,"93,000 sq km",99.0,69065000.0,8159.0,496607.0,21579.0
IRAN,30.1,10.8,"1,648,195 sq km",101.4,76.39,"79,721 sq km","1,531,595 sq km",1.2,18.1,0.93,4.72,87590873.0,"116,600 sq km",100.0,80553000.0,,223485.0,850.0
IRAQ,18.1,8.4,"438,317 sq km",78.26,50.71,"35,250 sq km","437,367 sq km",0.5,9.2,1.94,2.78,41266109.0,950 sq km,100.0,28369000.0,2272.0,59623.0,5279.0
IRELAND,66.1,15.4,"70,273 sq km",677.03,477.54,0 sq km,"68,883 sq km",0.0,50.7,0.91,13.59,5323991.0,"1,390 sq km",100.0,11430000.0,1688.0,99830.0,956.0
ISLE OF MAN,74.7,43.8,572 sq km,,,,572 sq km,0.0,30.9,0.48,0.25,91840.0,0 sq km,100.0,,63.0,1107.0,
ISRAEL,23.8,13.7,"21,937 sq km",143.88,124.58,"2,159 sq km","21,497 sq km",3.8,6.3,1.43,8.61,9043387.0,440 sq km,100.0,18993000.0,1497.0,20391.0,
ITALY,47.1,22.8,"301,340 sq km",687.95,637.93,"26,010 sq km","294,140 sq km",8.6,15.7,0.11,6.74,61021855.0,"7,200 sq km",100.0,121442000.0,18475.0,487700.0,2400.0
JAMAICA,41.4,11.1,"10,991 sq km",4.38,7.41,250 sq km,"10,831 sq km",9.2,21.1,0.09,4.6,2820982.0,160 sq km,100.0,1216000.0,,22121.0,
JAPAN,12.5,11.7,"377,915 sq km",756.0,721.0,"15,730 sq km","364,485 sq km",0.8,0.0,0.41,1.0,123719238.0,"13,430 sq km",100.0,306000000.0,27311.0,1218772.0,1770.0
JERSEY,66.0,66.0,116 sq km,,,,116 sq km,,,0.61,1.0,102785.0,0 sq km,100.0,,,576.0,
JORDAN,11.4,2.0,"89,342 sq km",13.86,23.39,833 sq km,"88,802 sq km",1.0,8.4,0.79,2.23,11086716.0,540 sq km,99.0,5644000.0,509.0,7203.0,
KAZAKHSTAN,77.4,8.9,"2,724,900 sq km",66.13,49.2,"18,099 sq km","2,699,700 sq km",0.0,68.5,0.73,4.3,19543464.0,"25,200 sq km",100.0,25022000.0,16636.0,96167.0,43983.0
KENYA,48.1,9.8,"580,367 sq km",11.82,21.85,"1,030 sq km","569,140 sq km",0.9,37.4,2.09,7.52,57052004.0,"11,227 sq km",76.0,3304000.0,3819.0,161452.0,
KIRIBATI,42.0,2.5,811 sq km,10.75,201.98,0 sq km,811 sq km,39.5,0.0,1.02,1.5,115372.0,0 sq km,92.0,11000.0,,670.0,5.0
"KOREA, NORTH",21.8,19.5,"120,538 sq km",222.0,2.32,"14,600 sq km","120,408 sq km",1.9,0.4,0.44,-1.1,26072217.0,130 sq km,52.0,8413000.0,7435.0,25554.0,2250.0
"KOREA, SOUTH",18.1,15.3,"99,720 sq km",771.2,698.1,"7,780 sq km","96,920 sq km",2.2,0.6,0.23,4.15,51966948.0,"2,800 sq km",100.0,135789000.0,3979.0,100428.0,1600.0
KOSOVO,52.8,27.4,"10,887 sq km",3.14,6.13,,"10,887 sq km",1.9,23.5,,10.75,1964327.0,0 sq km,100.0,1424000.0,437.0,2012.0,
KUWAIT,8.5,0.6,"17,818 sq km",77.12,48.95,100 sq km,"17,818 sq km",0.3,7.6,1.13,-8.86,3103580.0,0 sq km,100.0,19371000.0,,5749.0,
KYRGYZSTAN,55.4,6.7,"199,951 sq km",3.35,5.92,"10,043 sq km","191,801 sq km",0.4,48.3,0.82,3.61,6122781.0,"8,150 sq km",99.0,4626000.0,424.0,34000.0,576.0
LAOS,10.6,6.2,"236,800 sq km",7.82,6.53,"4,409 sq km","230,800 sq km",0.7,3.7,1.3,2.53,7852377.0,"6,000 sq km",100.0,9346000.0,422.0,39586.0,4600.0
LATVIA,29.2,18.6,"64,589 sq km",25.25,26.62,6 sq km,"62,249 sq km",0.1,10.5,1.13,4.07,1821750.0,"2,340 sq km",100.0,3089000.0,2216.0,70244.0,300.0
LEBANON,63.3,11.9,"10,400 sq km",10.15,17.38,"1,040 sq km","10,230 sq km",12.3,39.1,0.64,-7.0,5331203.0,170 sq km,100.0,3768000.0,401.0,21705.0,
LESOTHO,76.1,10.1,"30,355 sq km",1.08,2.22,12 sq km,"30,355 sq km",0.1,65.9,0.76,1.35,2210646.0,0 sq km,50.0,74000.0,,5940.0,
LIBERIA,28.1,5.2,"111,369 sq km",554.01,1.24,30 sq km,"96,320 sq km",2.1,20.8,2.71,4.99,5506280.0,"15,049 sq km",29.0,196000.0,429.0,10600.0,
LIBYA,8.8,1.0,"1,759,540 sq km",9.54,14.33,"4,700 sq km","1,759,540 sq km",0.2,7.6,1.54,31.37,7252573.0,0 sq km,70.0,10516000.0,,37000.0,
LIECHTENSTEIN,37.6,18.8,160 sq km,571.38,480.52,0 sq km,160 sq km,0.0,18.8,0.7,4.22,39993.0,0 sq km,100.0,22921000.0,5296.0,71557.0,1292.0
LITHUANIA,44.8,34.9,"65,300 sq km",53.4,50.38,16 sq km,"62,680 sq km",0.5,9.4,1.04,5.98,2655755.0,"2,620 sq km",100.0,3512000.0,1911.0,84166.0,441.0
LUXEMBOURG,50.7,24.0,"2,586 sq km",177.83,148.15,0 sq km,"2,586 sq km",0.6,26.1,1.58,5.1,660924.0,0 sq km,100.0,1899000.0,271.0,2875.0,37.0
MACAU,0.0,,28 sq km,26.62,22.79,0 sq km,28.2 sq km,,,0.71,19.27,639971.0,0 sq km,100.0,478000.0,,428.0,
MADAGASCAR,71.1,6.0,"587,041 sq km",3.34,4.77,"10,860 sq km","581,540 sq km",1.0,64.1,2.22,4.4,28812195.0,"5,501 sq km",35.0,587000.0,836.0,31640.0,600.0
MALAWI,59.2,38.2,"118,484 sq km",1.54,3.58,740 sq km,"94,080 sq km",1.4,19.6,2.28,2.75,21279597.0,"24,404 sq km",14.0,618000.0,767.0,15452.0,700.0
MALAYSIA,23.2,2.9,"329,847 sq km",256.66,230.19,"4,420 sq km","328,657 sq km",19.4,0.9,1.01,3.09,34219975.0,"1,190 sq km",100.0,34959000.0,1851.0,144403.0,7200.0
MALDIVES,23.3,10.0,298 sq km,3.95,3.5,0 sq km,298 sq km,10.0,3.3,0.17,41.75,389568.0,0 sq km,100.0,545000.0,,93.0,
MALI,34.1,5.6,"1,240,192 sq km",5.2,6.34,"3,780 sq km","1,220,190 sq km",0.1,28.4,2.93,3.05,21359722.0,"20,002 sq km",53.0,890000.0,593.0,139107.0,1800.0
MALTA,32.3,28.4,316 sq km,22.11,21.36,35 sq km,316 sq km,3.9,0.0,0.59,10.3,467138.0,0 sq km,100.0,784000.0,,3096.0,
MARSHALL ISLANDS,50.7,7.8,181 sq km,1.37,10.7,0 sq km,181 sq km,31.2,11.7,1.3,1.11,80966.0,0 sq km,99.0,,,2028.0,
MAURITANIA,38.5,0.4,"1,030,700 sq km",3.18,4.31,450 sq km,"1,030,700 sq km",0.0,38.1,1.96,2.45,4244878.0,0 sq km,47.0,656000.0,728.0,12253.0,1086.0
MAURITIUS,43.8,38.4,"2,040 sq km",,,158 sq km,"2,030 sq km",2.0,3.4,0.09,,1309448.0,10 sq km,,,,,
MEXICO,54.9,11.8,"1,964,375 sq km",522.24,544.75,"60,620 sq km","1,943,945 sq km",1.4,41.7,0.61,4.72,129875529.0,"20,430 sq km",100.0,93430000.0,23389.0,704884.0,2900.0
"MICRONESIA, FEDERATED STATES OF",25.5,2.3,702 sq km,179.0,126.0,0 sq km,702 sq km,19.7,3.5,0.7,-3.19,100319.0,0 sq km,83.0,,,,
MOLDOVA,74.9,55.1,"33,851 sq km",4.2,7.92,"2,155 sq km","32,891 sq km",9.1,10.7,1.14,13.94,3250532.0,960 sq km,100.0,594000.0,1171.0,9352.0,558.0
MONACO,1.0,0.0,2 sq km,964.6,1.37,0 sq km,2 sq km,1.0,0.0,0.66,21.55,31597.0,0 sq km,100.0,,,,
MONGOLIA,73.0,0.4,"1,564,116 sq km",8.95,9.26,602 sq km,"1,553,556 sq km",0.0,72.6,0.83,1.64,3255468.0,"10,560 sq km",100.0,1479000.0,1815.0,113200.0,580.0
MONTENEGRO,38.2,12.9,"13,812 sq km",2.5,3.64,24 sq km,"13,452 sq km",1.2,24.1,0.43,12.43,602445.0,360 sq km,99.0,1006999.0,250.0,7762.0,
